libpam-modules-bin                      1.4.0-9+deb11u1
libpam-runtime                          1.4.0-9+deb11u1
libpam0g                                1.4.0-9+deb11u1
libpango-1.0-0                          1.46.2-3
libpangocairo-1.0-0                     1.46.2-3
libpangoft2-1.0-0                       1.46.2-3
libpaper1                               1.1.28+b1
libpcre2-8-0                            10.36-2+deb11u1
libpcre3                                2:8.39-13
libperl5.32                             5.32.1-4+deb11u2
libpgm-5.3-0                            5.3.128~dfsg-2
libpixman-1-0                           0.40.0-1.1~deb11u1
libpng16-16                             1.6.37-3
libpoppler102                           20.09.0-3.1+deb11u1
libpq5                                  13.10-0+deb11u1
libpsl5                                 0.21.0-1.2
libqpdf29                               11.3.0-1
libquadmath0                            10.2.1-6
librabbitmq4                            0.10.0-1
libraqm0                                0.7.0-4
libreadline8                            8.1-1
librsvg2-2                              2.50.3+dfsg-1
librtmp1                                2.4+20151223.gitfa8646d.1-2+b2
libsasl2-2                              2.1.27+dfsg-2.1+deb11u1
libsasl2-modules-db                     2.1.27+dfsg-2.1+deb11u1
libseccomp2                             2.5.1-1+deb11u1
libselinux1                             3.1-3
libsemanage-common                      3.1-1
libsemanage1                            3.1-1+b2
libsepol1                               3.1-1
libshine3                               3.1.1-2
libsmartcols1                           2.36.1-8+deb11u1
libsnappy1v5                            1.1.8-1
libsodium23                             1.0.18-1
libsoxr0                                0.1.3-4
libspeex1                               1.2~rc1.2-1.1
libsqlite3-0                            3.34.1-3
libsrt1.4-gnutls                        1.4.2-1.3
libss2                                  1.46.2-2
libssh-gcrypt-4                         0.9.5-1+deb11u1
libssh2-1                               1.9.0-2
libssl1.1                               1.1.1n-0+deb11u4
libstdc++6                              10.2.1-6
libswresample3                          7:4.3.6-0+deb11u1
libsystemd0                             247.3-7+deb11u2
libtasn1-6                              4.16.0-2+deb11u1
libtesseract4                           4.1.1-2.1
libthai-data                            0.1.28-3
libthai0                                0.1.28-3
libtheora0                              1.1.1+dfsg.1-15
libtiff5                                4.2.0-1+deb11u4
libtinfo6                               6.2+20201114-2+deb11u1
libtirpc-common                         1.3.1-1+deb11u1
libtirpc3                               1.3.1-1+deb11u1
libtwolame0                             0.4.0-2
libudev1                                247.3-7+deb11u2
libudfread0                             1.1.1-1
libunistring2                           0.9.10-4
libuuid1                                2.36.1-8+deb11u1
libv4l-0                                1.20.0-2
libv4lconvert0                          1.20.0-2
libva-drm2                              2.10.0-1
libva-x11-2                             2.10.0-1
libva2                                  2.10.0-1
libvdpau1                               1.4-3
libvorbis0a                             1.3.7-1
libvorbisenc2                           1.3.7-1
libvorbisfile3                          1.3.7-1
libvpx6                                 1.9.0-1
libwavpack1                             5.4.0-1
libwebp6                                0.6.1-2.1
libwebpdemux2                           0.6.1-2.1
libwebpmux3                             0.6.1-2.1
libx11-6                                2:1.7.2-1
libx11-data                             2:1.7.2-1
libx264-160                             2:0.160.3011+gitcde9a93-2.1
libx265-192                             3.4-2
libxau6                                 1:1.0.9-1
libxcb-render0                          1.14-3
libxcb-shm0                             1.14-3
libxcb1                                 1.14-3
libxdmcp6                               1:1.1.2-3
libxext6                                2:1.3.3-1.1
libxfixes3                              1:5.0.3-2
libxml2                                 2.9.10+dfsg-6.7+deb11u4
libxrender1                             1:0.9.10-1
libxslt1.1                              1.1.34-4+deb11u1
libxvidcore4                            2:1.3.7-1
libxxhash0                              0.8.0-2
libzbar0                                0.23.90-1
libzmq5                                 4.3.4-1
libzstd1                                1.4.8+dfsg-2.1
libzvbi-common                          0.2.35-18
libzvbi0                                0.2.35-18
login                                   1:4.8.1-1
logsave                                 1.46.2-2
lsb-base                                11.1.0
mariadb-client                          1:10.5.19-0+deb11u2
mariadb-client-10.5                     1:10.5.19-0+deb11u2
mariadb-client-core-10.5                1:10.5.19-0+deb11u2
mariadb-common                          1:10.5.19-0+deb11u2
mawk                                    1.3.4.20200120-2
media-types                             4.0.0
mount                                   2.36.1-8+deb11u1
mysql-common                            5.8+1.0.7
ncurses-base                            6.2+20201114-2+deb11u1
ncurses-bin                             6.2+20201114-2+deb11u1
netbase                                 6.3
ocl-icd-libopencl1                      2.2.14-2
openssl                                 1.1.1n-0+deb11u4
passwd                                  1:4.8.1-1
perl                                    5.32.1-4+deb11u2
perl-base                               5.32.1-4+deb11u2
perl-modules-5.32                       5.32.1-4+deb11u2
pinentry-curses                         1.1.0-4
pngquant                                2.13.1-1
poppler-data                            0.4.10-1
poppler-utils                           20.09.0-3.1+deb11u1
postgresql-client                       13+225
postgresql-client-13                    13.10-0+deb11u1
postgresql-client-common                225
qpdf                                    11.3.0-1
readline-common                         8.1-1
sed                                     4.7-1
sensible-utils                          0.0.14
shared-mime-info                        2.0-1
sysvinit-utils                          2.96-7+deb11u1
tar                                     1.34+dfsg-1
tesseract-ocr                           4.1.1-2.1
tesseract-ocr-deu                       1:4.00~git30-7274cfa-1.1
tesseract-ocr-eng                       1:4.00~git30-7274cfa-1.1
tesseract-ocr-fra                       1:4.00~git30-7274cfa-1.1
tesseract-ocr-ita                       1:4.00~git30-7274cfa-1.1
tesseract-ocr-osd                       1:4.00~git30-7274cfa-1.1
tesseract-ocr-spa                       1:4.00~git30-7274cfa-1.1
tzdata                                  2021a-1+deb11u10
ucf                                     3.0043
unpaper                                 6.1-2+b2
util-linux                              2.36.1-8+deb11u1
zlib1g                                  1:1.2.11.dfsg-2+deb11u2
